user_id,session_time,channel,converted
0127087259759309774,2017-08-01 18:42:43.000000 UTC,Direct,false
0127676004129682476,2017-08-01 22:44:15.000000 UTC,Organic Search,false
0132032912439403265,2017-08-01 15:59:26.000000 UTC,Organic Search,false
014254154228726438,2017-08-01 12:30:41.000000 UTC,Organic Search,false
0142546126259770580,2017-08-01 19:11:05.000000 UTC,Direct,false
0144290238073462571,2017-08-01 14:00:34.000000 UTC,Organic Search,false
014500031913190092,2017-08-02 01:41:56.000000 UTC,Display,false
014500031913190092,2017-08-02 04:16:57.000000 UTC,Display,false
0145872903932379757,2017-08-02 01:30:17.000000 UTC,Organic Search,false
0149323879525316141,2017-08-01 22:18:59.000000 UTC,Referral,false
015758098253382534,2017-08-01 20:37:39.000000 UTC,Organic Search,false
0167247604162700002,2017-08-02 05:53:31.000000 UTC,Organic Search,false
0167247604162700002,2017-08-02 06:46:44.000000 UTC,Organic Search,false
017966313686750775,2017-08-01 18:39:06.000000 UTC,Organic Search,false
0180992394340953802,2017-08-02 06:37:58.000000 UTC,Organic Search,false
0183116198632309666,2017-08-01 15:06:53.000000 UTC,Direct,false
0183116198632309666,2017-08-01 17:39:45.000000 UTC,Direct,false
0183116198632309666,2017-08-01 20:23:56.000000 UTC,Direct,false
0184583714566893994,2017-08-01 19:12:07.000000 UTC,Organic Search,false
018464682656639403,2017-08-01 11:37:45.000000 UTC,Direct,false
0185304290768034353,2017-08-02 01:09:20.000000 UTC,Organic Search,false
0187975600071346667,2017-08-01 07:00:40.000000 UTC,Organic Search,false
0188308435688462855,2017-08-02 05:31:08.000000 UTC,Referral,true
0190516328024386413,2017-08-01 17:39:08.000000 UTC,Organic Search,false
0192314861414750236,2017-08-01 15:17:02.000000 UTC,Organic Search,false
0192314861414750236,2017-08-01 23:11:40.000000 UTC,Organic Search,false
0195406374280656859,2017-08-01 13:56:11.000000 UTC,Social,false
0201469770107862966,2017-08-02 00:57:17.000000 UTC,Organic Search,false
0203746675575323546,2017-08-01 16:05:38.000000 UTC,Organic Search,false
0209688111174789449,2017-08-01 17:01:44.000000 UTC,Social,false
0213575011269241547,2017-08-01 16:41:40.000000 UTC,Social,false
0216488130437881232,2017-08-01 18:17:11.000000 UTC,Organic Search,false
